title,author,link,hours,mins,total_mins,total_hours,total_days
The In-Between,Hadley Vlahos R.N.,https://www.audible.com/pd/The-In-Between-Audiobook/B0BJ4Z5JVN?qid=1686833264&sr=1-35&ref=a_search_c3_lProduct_2_15&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,19.0,439.0,7.32,0.3
One and Only,Karla Sorensen,https://www.audible.com/pd/One-and-Only-Audiobook/B0C5KMJPQ7?qid=1686833264&sr=1-36&ref=a_search_c3_lProduct_2_16&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,53.0,533.0,8.88,0.37
"Workbook for Designing, Implementing, and Evaluating a Sharps Injury Prevention Program",Jeremiah Gutierrez,https://www.audible.com/pd/Workbook-for-Designing-Implementing-and-Evaluating-a-Sharps-Injury-Prevention-Program-Audiobook/B0C7J2S2DC?qid=1686833264&sr=1-37&ref=a_search_c3_lProduct_2_17&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,2.0,14.0,134.0,2.23,0.09
Smart Technology Application in the Healthcare Industry,Kristina Govan,https://www.audible.com/pd/Smart-Technology-Application-in-the-Healthcare-Industry-Audiobook/B0C7RLRY5W?qid=1686833264&sr=1-38&ref=a_search_c3_lProduct_2_18&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,1.0,47.0,107.0,1.78,0.07
Roman,Grae Bryan,https://www.audible.com/pd/Roman-Audiobook/B0C67LVSWN?qid=1686833264&sr=1-39&ref=a_search_c3_lProduct_2_19&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,8.0,488.0,8.13,0.34
Strength Unleashed: Startup,Ajax Lygan,https://www.audible.com/pd/Strength-Unleashed-Startup-Audiobook/B0C5YPFK4Y?qid=1686833264&sr=1-40&ref=a_search_c3_lProduct_2_20&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=89YV3JC0K4KBCTACYPW3&pageLoadId=qz2jImB18jQfqBvr&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,14.0,4.0,844.0,14.07,0.59
Calling Bullsh*t on Busy,Andrew Mellen,https://www.audible.com/pd/Calling-Bullsh-t-on-Busy-Audiobook/B0C6BPWC7Z?qid=1686833273&sr=1-41&ref=a_search_c3_lProduct_3_1&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,7.0,,,,
Contractually Yours,Nadia Lee,https://www.audible.com/pd/Contractually-Yours-Audiobook/B0C76B8GVD?qid=1686833273&sr=1-42&ref=a_search_c3_lProduct_3_2&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,11.0,44.0,704.0,11.73,0.49
Their Wicked Games,D.K. Hood,https://www.audible.com/pd/Their-Wicked-Games-Audiobook/B0C6R3D7BG?qid=1686833273&sr=1-43&ref=a_search_c3_lProduct_3_3&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,8.0,32.0,512.0,8.53,0.36
Keeper of Secrets,Denise Grover Swank,https://www.audible.com/pd/Keeper-of-Secrets-Audiobook/B0C5Y7FB8R?qid=1686833273&sr=1-44&ref=a_search_c3_lProduct_3_4&pf_rd_p=83218cca-c308-412f-bfcf-90198b687a2f&pf_rd_r=6B7WY34GEERME48GG1EC&pageLoadId=58Zk57HFzQyuogjw&creativeId=0d6f6720-f41c-457e-a42b-8c8dceb62f2c,9.0,7.0,547.0,9.12,0.38
