property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 14,500,000","Muigai, Kitengela",4,,281 ft²,Cherd Africa LTD
,"KSh 42,000,000",Kilifi County,3,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 75,000,000",Naivasha,5,,650 m²,Karengata Property Managers
,"KSh 28,000,000",Diani,3,,,Furaha Properties
,"KSh 35,000,000",Malindi,4,,,Highrise Properties Ltd
,"KSh 35,000,000",Kiambu Road,4,,,Sky Limits Ventures
,"KSh 16,500,000",Bamburi,4,,,Realty Plus
,"KSh 29,500,000","Kiambu road, Kiambu Road",4,,,Wealthlink Realtors Ltd
,"KSh 20,000,000","Off Namanga Road, Athi River",3,,,Dunhill Consulting Limited
,"KSh 158,145,000",Muthaiga,4,,,Coral Property International Ltd
,"KSh 18,000,000",Kitengela,4,,200 m²,Datka Estate Agency
,"KSh 66,000,000",Karen,4,,3500 ft²,Leilach Properties
,"KSh 12,500,000",Ngong,3,,,Leilach Properties
,"KSh 120,000,000","Runda Nairobi, Runda, Westlands",4,,,Spacetech Enterprises
,"KSh 35,000,000","Dennis pritt Road, Kilimani",4,,3500 ft²,SXERP REAL ESTATE
,"KSh 70,000,000",Lavington,4,,4000 ft²,Unique Listings Limited
,"KSh 73,000,000","Westlands Area, Westlands",4,,,Coral Property International Ltd
,Price not communicated,"Mimosa Road, Runda, Westlands",5,,3500 ft²,Acasa Realtors
,"KSh 8,950,000","JCC Church, Bamburi",4,,,BLISS HOMES
,"KSh 30,000,000","Kiambu road, Kiambu Road",4,,,Wealthlink Realtors Ltd
,"KSh 59,000,000","Garden Estate, Roysambu",5,,,Standard Shelters Limited
,"KSh 7,750,000","Joska, Kangundo road, Kangundo",4,,,Centrum Properties
,"KSh 110,000,000","Nairobi, Kitisuru, Westlands",4,,6500 ft²,Coral Property International Ltd
,"KSh 7,500,000",Ongata Rongai,3,,5000 ft²,Litana Investments
,"KSh 55,000,000","Hatheru road, Lavington",5,,,FAPCL Group
,"KSh 8,500,000",Kitengela,3,,,Blu cherryDUPLICATE
,"KSh 20,000,000",Langata,4,,,Pam Golding Properties
,"KSh 45,000,000",Shanzu,4,,,Furaha Properties
,"KSh 18,000,000","Membley, Ruiru",4,,,Hold Piece Ltd
,"KSh 50,000,000","Kizingo, Mombasa Island",5,,,Arneel Homes
,"KSh 48,000,000","Brookside, Westlands",4,,,Coral Property International Ltd
,"KSh 6,000,000","Acacia, Acacia off Namanga road, Kitengela",4,,140 m²,K3 Properties
,"KSh 12,000,000","4, Quarry Road, Mlolongo",4,,450 m²,Westside Real Estate
,"KSh 5,500,000","Kayole Estate, Naivasha",3,,,Zyve
,"KSh 6,500,000","Animo Mtwapa, Mtwapa",3,,,BLISS HOMES
,"KSh 75,000,000",Lavington,5,,550 m²,Splendor Holdings
,"KSh 70,000,000","Vipingo, Kikambala",4,,,Furaha Properties
,"KSh 48,000,000","Rhapta Road, Westlands",5,,,Coral Property International Ltd
,"KSh 46,250,000",Kiambu Road,4,,,FAPCL Group
,"KSh 80,000,000","Runda, Westlands",4,,,
,"KSh 21,500,000",Kiambu Road,3,,,HassConsult
,"KSh 16,000,000","Thika, Tora Estate",4,,,sun-sera realtors
,"KSh 16,200,000","Jamhuri phase 1, Ngong Road",3,,,
,"KSh 7,800,000",Ngong,4,,2500 ft²,Leilach Properties
,"KSh 87,000,000","Karen hardy, Karen Hardy",4,,544 m²,Mapema Properties
,"KSh 650,000,000","runda, Runda, Westlands",5,,,Trisums Investments Company Ltd
,"KSh 17,000,000","Creekside, Mtwapa creekside, Mtwapa",3,,1 ac,Sky Miles Properties
,"KSh 6,500,000","Utange, Bamburi",3,,1686 ft²,Samfrance properties
,"KSh 6,800,000","Sweet waters, Nanyuki",2,,,
,"KSh 50,000,000","Nyali Area, Nyali",4,,,Arneel Homes
,"KSh 14,500,000",Ngong,4,,227 m²,Litana Investments
,"KSh 95,000,000",Lavington,5,,,Olympia Gold Real Estate
,"KSh 99,000,000","Karen ololua estate, Karen",5,,544 m²,Mapema Properties
